1.data,2.data,3.data,4.data,5.data,6.data,7.data
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.88,,,0.67,,1.0
1.0,0.88,,,0.67,,1.0
1.0,0.88,,,0.67,,1.0
1.0,0.85,1.0,1.0,0.64,0.84,1.0
1.0,0.85,1.0,1.0,0.64,0.98,1.0
1.0,0.85,1.0,1.0,0.64,0.98,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.85,1.0,1.0,0.65,0.86,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.92,,,0.7,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.89,,,0.67,,1.0
1.0,0.85,1.0,1.0,0.65,0.86,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,1.0,1.0,0.65,1.0,1.0
1.0,0.85,0.99,1.0,0.64,0.98,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.82,0.98,0.96,0.61,0.7,1.0
1.0,0.82,0.98,0.96,0.61,0.8,1.0
1.0,0.82,,0.96,0.61,0.81,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.82,0.99,0.96,0.62,0.71,1.0
1.0,0.82,0.99,0.96,0.62,0.82,1.0
1.0,0.82,,0.96,0.62,0.82,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.85,,,0.64,,1.0
1.0,0.82,0.99,0.96,0.62,0.71,1.0
1.0,0.82,0.99,0.96,0.62,0.82,1.0
1.0,0.82,,0.96,0.62,0.82,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.85,0.99,1.0,0.64,0.81,1.0
1.0,0.85,0.99,1.0,0.64,0.98,1.0
1.0,0.85,,,0.64,0.98,1.0
1.0,0.82,0.98,0.96,0.61,0.55,1.0
1.0,0.82,0.98,0.96,0.61,0.57,1.0
1.0,0.82,0.98,0.96,0.61,0.59,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,0.82,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,,,0.64,1.0,1.0
1.0,0.82,0.99,0.96,0.62,0.55,1.0
1.0,0.82,0.99,0.96,0.62,0.58,1.0
1.0,0.82,0.99,0.96,0.62,0.6,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,0.82,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,,,0.64,1.0,1.0
1.0,0.82,0.99,0.96,0.62,0.55,1.0
1.0,0.82,0.99,0.96,0.62,0.58,1.0
1.0,0.82,0.99,0.96,0.62,0.6,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.85,0.99,1.0,0.64,0.81,1.0
1.0,0.85,0.99,1.0,0.64,0.98,1.0
1.0,0.85,0.99,1.0,0.64,0.98,1.0
1.0,0.82,0.98,0.96,0.61,0.55,1.0
1.0,0.82,0.98,0.96,0.61,0.57,1.0
1.0,0.82,0.98,0.96,0.61,0.59,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,0.82,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.82,0.98,0.96,0.62,0.55,1.0
1.0,0.82,0.99,0.96,0.62,0.58,1.0
1.0,0.82,0.99,0.96,0.62,0.6,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.85,1.0,1.0,0.64,0.82,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.85,1.0,1.0,0.64,1.0,1.0
1.0,0.82,0.99,0.96,0.62,0.55,1.0
1.0,0.82,0.99,0.96,0.62,0.58,1.0
1.0,0.82,0.99,0.96,0.62,0.6,1.0
1.0,0.79,0.97,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
1.0,0.79,0.98,0.92,0.59,0.53,1.0
