1.data,2.data,3.data,4.data,5.data,6.data,7.data
0.76,0.84,0.99,0.99,0.62,0.99,0.59
0.76,0.84,,,0.62,,0.59
0.76,0.84,,,0.62,,0.59
0.7,0.77,0.94,0.91,0.57,0.53,0.55
0.7,0.77,0.94,0.91,0.57,0.53,0.55
0.7,0.77,0.94,0.91,0.57,,0.55
0.84,0.93,,,0.68,,0.66
0.84,0.93,,,0.68,,0.7
0.84,0.93,,,0.68,,0.76
0.77,0.85,1.0,1.0,0.63,1.0,0.6
0.77,0.85,,,0.63,,0.6
0.77,0.85,,,0.63,,0.6
0.71,0.78,0.95,0.92,0.57,0.53,0.55
0.71,0.78,0.96,0.92,0.57,0.53,0.55
0.71,0.78,0.96,0.92,0.57,,0.55
0.85,0.93,,,0.69,,0.66
0.85,0.93,,,0.69,,0.71
0.85,0.93,,,0.69,,0.76
0.78,0.85,1.0,1.0,0.63,1.0,0.6
0.78,0.85,,,0.63,,0.6
0.78,0.85,,,0.63,,0.6
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.71,0.78,0.97,0.93,0.58,,0.56
0.84,0.92,,,0.68,0.99,0.65
0.84,0.92,,,0.68,,0.65
0.84,0.92,,,0.68,,0.7
0.76,0.84,0.99,0.99,0.62,0.88,0.59
0.76,0.84,0.99,0.99,0.62,0.99,0.59
0.76,0.84,,,0.62,,0.59
0.7,0.77,0.94,0.91,0.57,0.53,0.55
0.7,0.77,0.94,0.91,0.57,0.53,0.55
0.7,0.77,0.94,0.91,0.57,0.53,0.55
0.84,0.93,,,0.68,1.0,0.66
0.84,0.93,,,0.68,,0.66
0.84,0.93,,,0.68,,0.7
0.77,0.85,1.0,1.0,0.63,0.88,0.6
0.77,0.85,1.0,1.0,0.63,1.0,0.6
0.77,0.85,,,0.63,,0.6
0.71,0.78,0.95,0.92,0.57,0.53,0.55
0.71,0.78,0.95,0.92,0.57,0.53,0.55
0.71,0.78,0.96,0.92,0.57,0.53,0.55
0.85,0.93,,,0.69,1.0,0.66
0.85,0.93,,,0.69,,0.66
0.85,0.93,,,0.69,,0.71
0.78,0.85,1.0,1.0,0.63,0.89,0.6
0.78,0.85,1.0,1.0,0.63,1.0,0.6
0.78,0.85,,,0.63,,0.6
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.84,0.92,,,0.68,0.94,0.65
0.84,0.92,,,0.68,1.0,0.65
0.84,0.92,,,0.68,,0.65
0.76,0.84,0.99,0.99,0.62,0.76,0.59
0.76,0.84,0.99,0.99,0.62,0.9,0.59
0.76,0.84,0.99,0.99,0.62,0.99,0.59
0.7,0.77,0.94,0.91,0.57,0.53,0.55
0.7,0.77,0.94,0.91,0.57,0.53,0.55
0.7,0.77,0.94,0.91,0.57,0.53,0.55
0.84,0.93,,,0.68,0.95,0.66
0.84,0.93,,,0.68,1.0,0.66
0.84,0.93,,,0.68,,0.66
0.77,0.85,1.0,1.0,0.63,0.77,0.6
0.77,0.85,1.0,1.0,0.63,0.91,0.6
0.77,0.85,1.0,1.0,0.63,1.0,0.6
0.71,0.78,0.95,0.92,0.57,0.53,0.55
0.71,0.78,0.95,0.92,0.57,0.53,0.55
0.71,0.78,0.95,0.92,0.57,0.53,0.55
0.85,0.93,,,0.69,0.95,0.66
0.85,0.93,,,0.69,1.0,0.66
0.85,0.93,,,0.69,,0.66
0.78,0.85,1.0,1.0,0.63,0.77,0.6
0.78,0.85,1.0,1.0,0.63,0.91,0.6
0.78,0.85,1.0,1.0,0.63,1.0,0.6
0.71,0.78,0.96,0.93,0.58,0.54,0.56
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.86,0.93,,,0.68,,0.65
0.86,0.93,,,0.68,,0.72
0.91,0.93,,,0.68,,0.77
0.78,0.85,,,0.63,,0.6
0.78,0.85,,,0.63,,0.6
0.78,0.85,,,0.63,,0.6
0.72,0.78,0.99,0.99,0.57,0.53,0.55
0.72,0.78,,,0.57,0.53,0.55
0.72,0.78,,,0.57,,0.55
0.86,0.93,,,0.69,,0.66
0.86,0.93,,,0.69,,0.72
0.92,0.93,,,0.69,,0.78
0.79,0.85,,,0.63,,0.6
0.79,0.85,,,0.63,,0.6
0.79,0.85,,,0.63,,0.6
0.73,0.78,1.0,1.0,0.58,0.53,0.56
0.73,0.78,,,0.58,0.53,0.56
0.73,0.78,,,0.58,,0.56
0.87,0.94,,,0.7,,0.67
0.87,0.94,,,0.7,,0.73
0.93,0.94,,,0.7,,0.78
0.8,0.86,,,0.64,,0.61
0.8,0.86,,,0.64,,0.61
0.8,0.86,,,0.64,,0.61
0.73,0.79,1.0,1.0,0.58,0.54,0.56
0.73,0.79,,,0.58,0.54,0.56
0.73,0.79,,,0.58,,0.56
0.86,0.93,,,0.68,,0.65
0.86,0.93,,,0.68,,0.66
0.86,0.93,,,0.68,,0.72
0.78,0.85,,,0.63,0.91,0.6
0.78,0.85,,,0.63,,0.6
0.78,0.85,,,0.63,,0.6
0.72,0.78,0.98,0.99,0.57,0.53,0.55
0.72,0.78,0.99,0.99,0.57,0.53,0.55
0.72,0.78,,,0.57,,0.55
0.86,0.93,,,0.69,,0.66
0.86,0.93,,,0.69,,0.66
0.86,0.93,,,0.69,,0.72
0.79,0.85,,,0.63,0.92,0.6
0.79,0.85,,,0.63,,0.6
0.79,0.85,,,0.63,,0.6
0.73,0.78,1.0,1.0,0.58,0.53,0.56
0.73,0.78,1.0,1.0,0.58,0.53,0.56
0.73,0.78,,,0.58,,0.56
0.87,0.94,,,0.7,,0.67
0.87,0.94,,,0.7,,0.67
0.87,0.94,,,0.7,,0.73
0.8,0.86,,,0.64,0.93,0.61
0.8,0.86,,,0.64,,0.61
0.8,0.86,,,0.64,,0.61
0.73,0.79,1.0,1.0,0.58,0.54,0.56
0.73,0.79,1.0,1.0,0.58,0.54,0.56
0.73,0.79,,,0.58,,0.56
0.86,0.93,,,0.68,0.99,0.65
0.86,0.93,,,0.68,,0.65
0.86,0.93,,,0.68,,0.66
0.78,0.85,,,0.63,0.8,0.6
0.78,0.85,,,0.63,0.93,0.6
0.78,0.85,,,0.63,,0.6
0.72,0.78,0.98,0.99,0.57,0.53,0.55
0.72,0.78,0.98,0.99,0.57,0.53,0.55
0.72,0.78,0.99,0.99,0.57,0.53,0.55
0.86,0.93,,,0.69,1.0,0.66
0.86,0.93,,,0.69,,0.66
0.86,0.93,,,0.69,,0.67
0.79,0.85,,,0.63,0.8,0.6
0.79,0.85,,,0.63,0.94,0.6
0.79,0.85,,,0.63,,0.6
0.73,0.78,1.0,1.0,0.58,0.53,0.56
0.73,0.78,1.0,1.0,0.58,0.53,0.56
0.73,0.78,1.0,1.0,0.58,0.53,0.56
0.87,0.94,,,0.7,1.0,0.67
0.87,0.94,,,0.7,,0.67
0.87,0.94,,,0.7,,0.67
0.8,0.86,,,0.64,0.81,0.61
0.8,0.86,,,0.64,0.94,0.61
0.8,0.86,,,0.64,,0.61
0.73,0.79,1.0,1.0,0.58,0.54,0.56
0.73,0.79,1.0,1.0,0.58,0.54,0.56
0.73,0.79,1.0,1.0,0.58,0.54,0.56
0.81,0.91,0.97,0.98,0.67,0.99,0.64
0.81,0.91,,1.0,0.67,,0.67
0.81,0.91,,1.0,0.67,,0.73
0.74,0.83,0.93,0.9,0.61,0.95,0.59
0.74,0.83,0.93,0.9,0.61,,0.59
0.74,0.83,0.93,0.9,0.61,,0.59
0.68,0.76,0.88,0.83,0.56,0.52,0.54
0.68,0.76,0.88,0.83,0.56,0.52,0.54
0.68,0.76,0.89,0.83,0.56,,0.54
0.82,0.91,0.99,0.99,0.67,0.99,0.65
0.82,0.91,,1.0,0.67,,0.67
0.82,0.91,,1.0,0.67,,0.73
0.75,0.84,0.94,0.91,0.62,0.96,0.59
0.75,0.84,0.94,0.91,0.62,,0.59
0.75,0.84,0.94,0.91,0.62,,0.59
0.69,0.77,0.89,0.83,0.56,0.53,0.54
0.69,0.77,0.9,0.83,0.56,0.53,0.54
0.69,0.77,0.9,0.83,0.56,,0.54
0.82,0.92,1.0,1.0,0.68,1.0,0.65
0.82,0.92,,1.0,0.68,,0.68
0.82,0.92,,1.0,0.68,,0.74
0.75,0.84,0.95,0.91,0.62,0.96,0.6
0.75,0.84,0.96,0.91,0.62,,0.6
0.75,0.84,0.96,0.91,0.62,,0.6
0.69,0.78,0.91,0.84,0.57,0.53,0.55
0.69,0.78,0.91,0.84,0.57,0.53,0.55
0.69,0.78,0.91,0.84,0.57,,0.55
0.81,0.91,0.97,0.98,0.67,0.95,0.64
0.81,0.91,0.97,0.98,0.67,0.99,0.64
0.81,0.91,,1.0,0.67,,0.67
0.74,0.83,0.93,0.9,0.61,0.83,0.59
0.74,0.83,0.93,0.9,0.61,0.96,0.59
0.74,0.83,0.93,0.9,0.61,,0.59
0.68,0.76,0.88,0.83,0.56,0.52,0.54
0.68,0.76,0.88,0.83,0.56,0.52,0.54
0.68,0.76,0.88,0.83,0.56,0.52,0.54
0.82,0.91,0.99,0.99,0.67,0.96,0.65
0.82,0.91,0.99,0.99,0.67,0.99,0.65
0.82,0.91,,1.0,0.67,,0.68
0.75,0.84,0.94,0.91,0.62,0.84,0.59
0.75,0.84,0.94,0.91,0.62,0.96,0.59
0.75,0.84,0.94,0.91,0.62,,0.59
0.69,0.77,0.89,0.83,0.56,0.53,0.54
0.69,0.77,0.89,0.83,0.56,0.53,0.54
0.69,0.77,0.9,0.83,0.56,0.53,0.54
0.82,0.92,1.0,1.0,0.68,0.97,0.65
0.82,0.92,1.0,1.0,0.68,1.0,0.65
0.82,0.92,,1.0,0.68,,0.68
0.75,0.84,0.95,0.91,0.62,0.85,0.6
0.75,0.84,0.95,0.91,0.62,0.97,0.6
0.75,0.84,0.96,0.91,0.62,,0.6
0.69,0.78,0.9,0.84,0.57,0.53,0.55
0.69,0.78,0.91,0.84,0.57,0.53,0.55
0.69,0.78,0.91,0.84,0.57,0.53,0.55
0.81,0.91,0.97,0.98,0.67,0.92,0.64
0.81,0.91,0.97,0.98,0.67,0.96,0.64
0.81,0.91,0.97,0.98,0.67,0.99,0.64
0.74,0.83,0.93,0.9,0.61,0.72,0.59
0.74,0.83,0.93,0.9,0.61,0.87,0.59
0.74,0.83,0.93,0.9,0.61,0.96,0.59
0.68,0.76,0.88,0.83,0.56,0.52,0.54
0.68,0.76,0.88,0.83,0.56,0.52,0.54
0.68,0.76,0.88,0.83,0.56,0.52,0.54
0.82,0.91,0.99,0.99,0.67,0.93,0.65
0.82,0.91,0.99,0.99,0.67,0.96,0.65
0.82,0.91,0.99,0.99,0.67,0.99,0.65
0.75,0.84,0.94,0.91,0.62,0.72,0.59
0.75,0.84,0.94,0.91,0.62,0.87,0.59
0.75,0.84,0.94,0.91,0.62,0.97,0.59
0.69,0.77,0.89,0.83,0.56,0.53,0.54
0.69,0.77,0.89,0.83,0.56,0.53,0.54
0.69,0.77,0.89,0.83,0.56,0.53,0.54
0.82,0.92,1.0,1.0,0.68,0.93,0.65
0.82,0.92,1.0,1.0,0.68,0.97,0.65
0.82,0.92,1.0,1.0,0.68,1.0,0.65
0.75,0.84,0.95,0.91,0.62,0.73,0.6
0.75,0.84,0.95,0.91,0.62,0.88,0.6
0.75,0.84,0.95,0.91,0.62,0.97,0.6
